column1,column2,correlation
_feat_SmallestRingSize,_feat_LargestRingSize,1.0
_feat_AtomCount_N,_feat_Hdonorcount,1.0
_feat_VanderWaalsSurfaceArea,_feat_msareaVDWp,1.0
_feat_molsurfaceareaASAp,_feat_msareaASAp,1.0
_feat_VanderWaalsSurfaceArea,_feat_molsurfaceareaVDWp,1.0
_feat_AromaticAtomCount,_feat_AromaticRingCount,1.0
_feat_AromaticAtomCount,_feat_CarboaromaticRingCount,1.0
_feat_msareaVDWp,_feat_molsurfaceareaVDWp,1.0
_feat_acceptorcount,_feat_Hacceptorcount,1.0
_feat_AromaticRingCount,_feat_CarboaromaticRingCount,1.0
_feat_fr_NH0,_feat_HeteroaliphaticRingCount,1.0
_feat_maximalprojectionsize,_feat_LengthPerpendicularToTheMaxArea,1.0
_feat_ProtPolarSurfaceArea,_feat_Protpsa,1.0
_feat_fr_Imine,_feat_HeteroaliphaticRingCount,1.0
_feat_fr_Imine,_feat_fr_NH0,1.0
_feat_LengthPerpendicularToTheMinArea,_feat_minimalprojectionsize,1.0
_feat_SmallestRingSize,_feat_RingAtomCount,1.0
_feat_RingAtomCount,_feat_LargestRingSize,1.0
_feat_WienerIndex,_feat_HyperWienerIndex,0.9995715591839943
_raw_reagent_3_chemicals_0_actual_amount,_raw_reagent_4_chemicals_1_actual_amount,0.9982126819526114
_raw_reagent_3_chemicals_1_actual_amount,_raw_reagent_3_chemicals_0_actual_amount,0.9978189316249797
_raw_reagent_3_chemicals_2_actual_amount,_raw_reagent_4_chemicals_1_actual_amount,0.9970009405924503
_feat_RingAtomCount,_feat_CyclomaticNumber,0.9964468837907493
_feat_LargestRingSize,_feat_CyclomaticNumber,0.9964468837907493
_feat_SmallestRingSize,_feat_CyclomaticNumber,0.9964468837907493
_raw_reagent_3_chemicals_1_actual_amount,_raw_reagent_4_chemicals_1_actual_amount,0.9962133087083455
_raw_reagent_3_chemicals_2_actual_amount,_raw_reagent_3_chemicals_0_actual_amount,0.9952743518541226
_feat_AvgPol,_feat_VanderWaalsVolume,0.9945664108211634
_feat_Accsitecount,_feat_acceptorcount,0.99377061237255
_feat_Accsitecount,_feat_Hacceptorcount,0.99377061237255
_raw_reagent_3_chemicals_2_actual_amount,_raw_reagent_3_chemicals_1_actual_amount,0.9910333855693608
_feat_MaximalProjectionRadius,_feat_ASA,0.9893722744945731
_feat_WienerIndex,_raw_molweight,0.9889849525491755
_raw_molweight,_feat_HyperWienerIndex,0.9885599082988533
_feat_MaximalProjectionArea,_feat_MolPol,0.9871323223726475
_raw_molweight,_feat_MolPol,0.9852516365920893
_feat_WienerIndex,_feat_MolPol,0.9830293476197656
_feat_MolPol,_feat_HyperWienerIndex,0.982865798750918
_feat_VanderWaalsSurfaceArea,_feat_ASA,0.9825060848666559
_feat_ASA,_feat_msareaVDWp,0.9825060848666559
_feat_ASA,_feat_molsurfaceareaVDWp,0.9825060848666559
_feat_MaximalProjectionArea,_feat_HyperWienerIndex,0.9790124809341144
_feat_WienerIndex,_feat_MaximalProjectionArea,0.9784132255555225
_feat_MaximalProjectionArea,_raw_molweight,0.9780385451208705
_feat_MaximalProjectionRadius,_feat_VanderWaalsSurfaceArea,0.9780379464301426
_feat_MaximalProjectionRadius,_feat_msareaVDWp,0.9780379464301426
_feat_MaximalProjectionRadius,_feat_molsurfaceareaVDWp,0.9780379464301426
_feat_AtomCount_C,_feat_AvgPol,0.9760972365269428
_feat_ASA+,_feat_msareaASAp,0.9760283253301674
_feat_ASA+,_feat_molsurfaceareaASAp,0.9760283253301674
_feat_AtomCount_C,_feat_BondCount,0.9707652748595985
_feat_AvgPol,_feat_BondCount,0.9679922351513445
_feat_VanderWaalsVolume,_feat_BondCount,0.9677987939341502
_feat_msareaVDWp,_feat_BondCount,0.9673208491751655
_feat_VanderWaalsSurfaceArea,_feat_BondCount,0.9673208491751655
_feat_BondCount,_feat_molsurfaceareaVDWp,0.9673208491751655
_feat_AvgPol,_feat_molsurfaceareaASAp,0.9659141216493848
_feat_AvgPol,_feat_msareaASAp,0.9659141216493848
_feat_AtomCount_C,_feat_VanderWaalsVolume,0.9655231951359453
_feat_AvgPol,_feat_MolPol,0.9643249499062505
_feat_VanderWaalsVolume,_feat_molsurfaceareaASAp,0.9607430018827922
_feat_VanderWaalsVolume,_feat_msareaASAp,0.9607430018827922
_feat_VanderWaalsVolume,_feat_MolPol,0.9604754413935633
_feat_WienerIndex,_feat_Refractivity,0.9571757224823869
_feat_MinimalProjectionArea,_feat_BondCount,0.9570574809010548
_feat_Refractivity,_feat_HyperWienerIndex,0.956818274084537
_feat_MaximalProjectionRadius,_feat_BondCount,0.9548593095345775
_feat_ProtPolarSurfaceArea,_feat_donsitecount,0.9529966155108327
_feat_donsitecount,_feat_Protpsa,0.9529966155108327
_feat_VanderWaalsVolume,_feat_MaximalProjectionArea,0.9515375771031095
_feat_AtomCount_C,_feat_MinimalProjectionArea,0.950329412573049
_feat_ASA,_feat_ASA_H,0.9499203939031047
_feat_AvgPol,_feat_MaximalProjectionArea,0.9496205491234653
_feat_VanderWaalsSurfaceArea,_feat_ASA_H,0.9493115276478866
_feat_ASA_H,_feat_molsurfaceareaVDWp,0.9493115276478866
_feat_msareaVDWp,_feat_ASA_H,0.9493115276478866
_feat_CarboRingCount,_feat_CarboaromaticRingCount,0.9480890419638086
_feat_AromaticAtomCount,_feat_CarboRingCount,0.9480890419638086
_feat_CarboRingCount,_feat_AromaticRingCount,0.9480890419638086
_feat_ASA,_feat_BondCount,0.9441565899064936
_feat_VanderWaalsVolume,_feat_ASA+,0.9434035341761469
_feat_LengthPerpendicularToTheMinArea,_feat_MaximalProjectionRadius,0.9430316922827354
_feat_MaximalProjectionRadius,_feat_minimalprojectionsize,0.9430316922827354
_feat_MinimalProjectionArea,_feat_molsurfaceareaVDWp,0.9425151068342682
_feat_MinimalProjectionArea,_feat_msareaVDWp,0.9425151068342682
_feat_VanderWaalsSurfaceArea,_feat_MinimalProjectionArea,0.9425151068342682
_feat_LargestRingSize,_feat_CarboRingCount,0.9396921790511394
_feat_SmallestRingSize,_feat_CarboRingCount,0.9396921790511394
_feat_RingAtomCount,_feat_CarboRingCount,0.9396921790511394
_feat_PolarSurfaceArea,_feat_Hacceptorcount,0.938510009909378
_feat_acceptorcount,_feat_PolarSurfaceArea,0.938510009909378
_feat_MaximalProjectionRadius,_feat_ASA_H,0.9366758857340857
_feat_AtomCount_C,_feat_MaximalProjectionRadius,0.9343464291973597
_feat_AvgPol,_feat_ASA+,0.9339895804757258
_feat_Refractivity,_feat_MolPol,0.9335980173949051
_feat_BondCount,_feat_msareaASAp,0.9334621881353824
_feat_molsurfaceareaASAp,_feat_BondCount,0.9334621881353824
_feat_ASA+,_feat_BondCount,0.932637450787738
_feat_AvgPol,_feat_HyperWienerIndex,0.9325233091057196
_feat_WienerIndex,_feat_AvgPol,0.9317862209063567
_feat_minimalprojectionsize,_feat_ASA,0.9301732362375251
_feat_LengthPerpendicularToTheMinArea,_feat_ASA,0.9301732362375251
_feat_donorcount,_feat_Hdonorcount,0.9299057522767564
_feat_donorcount,_feat_AtomCount_N,0.9299057522767564
_feat_AvgPol,_raw_molweight,0.9296605815349134
_feat_AtomCount_C,_feat_MolPol,0.9275497435948842
_feat_Accsitecount,_feat_PolarSurfaceArea,0.9271110143527715
_raw_molweight,_feat_Refractivity,0.9257741016058892
_feat_AtomCount_C,_feat_molsurfaceareaASAp,0.9251987061844641
_feat_AtomCount_C,_feat_msareaASAp,0.9251987061844641
_feat_VanderWaalsVolume,_feat_HyperWienerIndex,0.9231458886038472
_feat_WienerIndex,_feat_VanderWaalsVolume,0.9227575148834106
_feat_MaximalProjectionArea,_feat_Refractivity,0.9218157456270573
_feat_VanderWaalsVolume,_raw_molweight,0.9209396481810619
_feat_MaximalProjectionRadius,_feat_MinimalProjectionArea,0.9180508006781581
_feat_ASA_H,_feat_BondCount,0.917795693487848
