column1,column2,correlation
_feat_RingAtomCount,_feat_LargestRingSize,1.0
_feat_AromaticAtomCount,_feat_CarboaromaticRingCount,1.0
_feat_CarboaromaticRingCount,_feat_AromaticRingCount,1.0
_raw_reagent_4_v1-conc_GGYGJCFIYJVWIP-UHFFFAOYSA-N,_raw_reagent_3_v1-conc_GGYGJCFIYJVWIP-UHFFFAOYSA-N,1.0
_raw_reagent_1_v1-conc_LLWRXQXPJMPHLR-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_LLWRXQXPJMPHLR-UHFFFAOYSA-N,1.0
_feat_fr_NH0,_feat_fr_Imine,1.0
_raw_reagent_1_v1-conc_YYMLRIWBISZOMT-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_YYMLRIWBISZOMT-UHFFFAOYSA-N,1.0
_raw_reagent_3_v1-conc_ZMXDDKWLCZADIW-UHFFFAOYSA-N,_raw_reagent_4_v1-conc_CALQKRVFTWDYDG-UHFFFAOYSA-N,1.0
_raw_reagent_2_v1-conc_FJFIJIDZQADKEE-UHFFFAOYSA-N,_raw_reagent_1_v1-conc_FJFIJIDZQADKEE-UHFFFAOYSA-N,1.0
_feat_fr_NH0,_feat_HeteroaliphaticRingCount,1.0
_feat_AtomCount_N,_feat_Hdonorcount,1.0
_raw_reagent_1_v1-conc_UXYJHTKQEFCXBJ-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_UXYJHTKQEFCXBJ-UHFFFAOYSA-N,1.0
_raw_reagent_1_v1-conc_SQXJHWOXNLTOOO-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_SQXJHWOXNLTOOO-UHFFFAOYSA-N,1.0
_feat_msareaASAp,_feat_molsurfaceareaASAp,1.0
_raw_reagent_4_v1-conc_QRFXELVDJSDWHX-UHFFFAOYSA-N,_raw_reagent_3_v1-conc_QRFXELVDJSDWHX-UHFFFAOYSA-N,1.0
_feat_LengthPerpendicularToTheMaxArea,_feat_maximalprojectionsize,1.0
_raw_reagent_4_v1-conc_NOHLSFNWSBZSBW-UHFFFAOYSA-N,_raw_reagent_3_v1-conc_NOHLSFNWSBZSBW-UHFFFAOYSA-N,1.0
_raw_reagent_2_v1-conc_PXWSKGXEHZHFJA-UHFFFAOYSA-N,_raw_reagent_1_v1-conc_PXWSKGXEHZHFJA-UHFFFAOYSA-N,1.0
_raw_reagent_1_v1-conc_NLJDBTZLVTWXRG-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_NLJDBTZLVTWXRG-UHFFFAOYSA-N,1.0
_raw_reagent_1_v1-conc_QNNYEDWTOZODAS-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_QNNYEDWTOZODAS-UHFFFAOYSA-N,1.0
_feat_fr_Imine,_feat_HeteroaliphaticRingCount,1.0
_raw_reagent_2_v1-conc_ZEVRFFCPALTVDN-UHFFFAOYSA-N,_raw_reagent_1_v1-conc_ZEVRFFCPALTVDN-UHFFFAOYSA-N,1.0
_raw_reagent_3_v1-conc_PXWSKGXEHZHFJA-UHFFFAOYSA-N,_raw_reagent_4_v1-conc_PXWSKGXEHZHFJA-UHFFFAOYSA-N,1.0
_raw_reagent_2_v1-conc_CALQKRVFTWDYDG-UHFFFAOYSA-N,_raw_reagent_1_v1-conc_CALQKRVFTWDYDG-UHFFFAOYSA-N,1.0
_raw_reagent_2_v1-conc_KFQARYBEAKAXIC-UHFFFAOYSA-N,_raw_reagent_1_v1-conc_KFQARYBEAKAXIC-UHFFFAOYSA-N,1.0
_feat_AromaticAtomCount,_feat_AromaticRingCount,1.0
_feat_LargestRingSize,_feat_SmallestRingSize,1.0
_raw_reagent_4_v1-conc_CALQKRVFTWDYDG-UHFFFAOYSA-N,_raw_reagent_3_v1-conc_CALQKRVFTWDYDG-UHFFFAOYSA-N,1.0
_feat_molsurfaceareaVDWp,_feat_msareaVDWp,1.0
_feat_msareaVDWp,_feat_VanderWaalsSurfaceArea,1.0
_raw_reagent_1_v1-conc_GIAPQOZCVIEHNY-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_GIAPQOZCVIEHNY-UHFFFAOYSA-N,1.0
_feat_acceptorcount,_feat_Hacceptorcount,1.0
_raw_reagent_1_v1-conc_PBGZCCFVBVEIAS-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_PBGZCCFVBVEIAS-UHFFFAOYSA-N,1.0
_raw_reagent_2_v1-conc_ZEVRFFCPALTVDN-UHFFFAOYSA-N,_feat_CarboaliphaticRingCount,1.0
_feat_RingAtomCount,_feat_SmallestRingSize,1.0
_raw_reagent_3_v1-conc_GIAPQOZCVIEHNY-UHFFFAOYSA-N,_raw_reagent_4_v1-conc_GIAPQOZCVIEHNY-UHFFFAOYSA-N,1.0
_feat_ProtPolarSurfaceArea,_feat_Protpsa,1.0
_raw_reagent_2_v1-conc_QRFXELVDJSDWHX-UHFFFAOYSA-N,_raw_reagent_1_v1-conc_QRFXELVDJSDWHX-UHFFFAOYSA-N,1.0
_raw_reagent_1_v1-conc_UPHCENSIMPJEIS-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_UPHCENSIMPJEIS-UHFFFAOYSA-N,1.0
_raw_reagent_2_v1-conc_KOAGKPNEVYEZDU-UHFFFAOYSA-N,_raw_reagent_1_v1-conc_KOAGKPNEVYEZDU-UHFFFAOYSA-N,1.0
_raw_reagent_1_v1-conc_VNAAUNTYIONOHR-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_VNAAUNTYIONOHR-UHFFFAOYSA-N,1.0
_raw_reagent_1_v1-conc_ZEVRFFCPALTVDN-UHFFFAOYSA-N,_feat_CarboaliphaticRingCount,1.0
_raw_reagent_3_v1-conc_XFYICZOIWSBQSK-UHFFFAOYSA-N,_raw_reagent_4_v1-conc_XFYICZOIWSBQSK-UHFFFAOYSA-N,1.0
_raw_reagent_1_v1-conc_UZHWWTHDRVLCJU-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_UZHWWTHDRVLCJU-UHFFFAOYSA-N,1.0
_feat_LengthPerpendicularToTheMinArea,_feat_minimalprojectionsize,1.0
_raw_reagent_1_v1-conc_NXRUEVJQMBGVAT-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_NXRUEVJQMBGVAT-UHFFFAOYSA-N,1.0
_raw_reagent_3_v1-conc_ZMXDDKWLCZADIW-UHFFFAOYSA-N,_raw_reagent_3_v1-conc_CALQKRVFTWDYDG-UHFFFAOYSA-N,1.0
_raw_reagent_1_v1-conc_NOHLSFNWSBZSBW-UHFFFAOYSA-N,_raw_reagent_2_v1-conc_NOHLSFNWSBZSBW-UHFFFAOYSA-N,1.0
_feat_molsurfaceareaVDWp,_feat_VanderWaalsSurfaceArea,1.0
_raw_reagent_2_v1-conc_QHJPGANWSLEMTI-UHFFFAOYSA-N,_raw_reagent_1_v1-conc_QHJPGANWSLEMTI-UHFFFAOYSA-N,0.999999243797261
_raw_reagent_2_v1-conc_ZEVRFFCPALTVDN-UHFFFAOYSA-N,_raw_v1-M_ZEVRFFCPALTVDN-UHFFFAOYSA-N_final,0.9999599558585527
_raw_reagent_1_v1-conc_ZEVRFFCPALTVDN-UHFFFAOYSA-N,_raw_v1-M_ZEVRFFCPALTVDN-UHFFFAOYSA-N_final,0.9999599558585527
_raw_v1-M_PBGZCCFVBVEIAS-UHFFFAOYSA-N_final,_raw_reagent_1_v1-conc_PBGZCCFVBVEIAS-UHFFFAOYSA-N,0.9999599558585527
_raw_v1-M_PBGZCCFVBVEIAS-UHFFFAOYSA-N_final,_raw_reagent_2_v1-conc_PBGZCCFVBVEIAS-UHFFFAOYSA-N,0.9999599558585527
_raw_v1-M_ZEVRFFCPALTVDN-UHFFFAOYSA-N_final,_feat_CarboaliphaticRingCount,0.9999599558585527
_raw_reagent_1_v1-conc_YYMLRIWBISZOMT-UHFFFAOYSA-N,_raw_v1-M_YYMLRIWBISZOMT-UHFFFAOYSA-N_final,0.9999599555869709
_raw_v1-M_NXRUEVJQMBGVAT-UHFFFAOYSA-N_final,_raw_reagent_2_v1-conc_NXRUEVJQMBGVAT-UHFFFAOYSA-N,0.9999599555869709
_raw_reagent_1_v1-conc_NLJDBTZLVTWXRG-UHFFFAOYSA-N,_raw_v1-M_NLJDBTZLVTWXRG-UHFFFAOYSA-N_final,0.9999599555869709
_raw_reagent_1_v1-conc_VNAAUNTYIONOHR-UHFFFAOYSA-N,_raw_v1-M_VNAAUNTYIONOHR-UHFFFAOYSA-N_final,0.9999599555869709
_raw_v1-M_QNNYEDWTOZODAS-UHFFFAOYSA-N_final,_raw_reagent_2_v1-conc_QNNYEDWTOZODAS-UHFFFAOYSA-N,0.9999599555869709
